fecha;cotizacion
2016-02-01;5911.79
2016-03-01;5717.58
2016-04-01;5641.85
2016-06-01;5701.08
2016-07-01;5571.79
2016-08-01;5536.97
2016-09-01;5536.46
2016-11-01;5728.99
2016-12-01;5837.59
2016-02-02;5871.94
2016-03-02;5685.71
2016-05-02;5575.16
2016-06-02;5692.89
2016-08-02;5504.31
2016-09-02;5549.98
2016-11-02;5726.36
2016-12-02;5831.34
2016-02-03;5883.45
2016-03-03;5701.86
2016-05-03;5566.48
2016-06-03;5681.52
2016-08-03;5517.83
2016-11-03;5731.53
2016-01-04;5834.73
2016-02-04;5885.83
2016-03-04;5686.23
2016-04-04;5619.96
2016-05-04;5576.26
2016-07-04;5564.71
2016-08-04;5523.39
2016-10-04;5579.7
2016-11-04;5733.66
2016-01-05;5867.16
2016-02-05;5866.13
2016-04-05;5546.65
2016-05-05;5601.43
2016-07-05;5562.77
2016-08-05;5526.05
2016-09-05;5539.07
2016-10-05;5582.23
2016-12-05;5813.4
2016-01-06;5860.46
2016-04-06;5562.65
2016-05-06;5607.82
2016-06-06;5643.96
2016-07-06;5578
2016-09-06;5540.9
2016-10-06;5569.28
2016-12-06;5796.43
2016-01-07;5871.2
2016-03-07;5698.2
2016-04-07;5592.36
2016-06-07;5621.54
2016-07-07;5583.64
2016-09-07;5576.63
2016-10-07;5573.82
2016-11-07;5733.4
2016-12-07;5805
2016-01-08;5877.24
2016-02-08;5736.52
2016-03-08;5717.34
2016-04-08;5626.5
2016-06-08;5636.54
2016-07-08;5569.18
2016-08-08;5523.24
2016-09-08;5552.5
2016-11-08;5731.28
2016-02-09;5777.31
2016-03-09;5723.23
2016-05-09;5593.22
2016-06-09;5649.75
2016-08-09;5521.97
2016-09-09;5559.56
2016-11-09;5739.73
2016-12-09;5816.8
2016-02-10;5746.51
2016-03-10;5721.92
2016-05-10;5586.25
2016-06-10;5668.74
2016-08-10;5518.16
2016-10-10;5563.86
2016-11-10;5742.9
2016-01-11;5882.72
2016-02-11;5791.5
2016-03-11;5726.43
2016-04-11;5608.56
2016-05-11;5600.19
2016-07-11;5550.88
2016-08-11;5514.55
2016-10-11;5580.88
2016-11-11;5742.51
2016-01-12;5891.47
2016-02-12;5817.01
2016-04-12;5585.17
2016-05-12;5628.97
2016-07-12;5569.77
2016-08-12;5504.02
2016-09-12;5557.19
2016-10-12;5583
2016-12-12;5798.56
2016-01-13;5892.64
2016-04-13;5589.69
2016-05-13;5642.02
2016-06-13;5654.39
2016-07-13;5565.73
2016-09-13;5553.38
2016-10-13;5606.1
2016-12-13;5796.92
2016-01-14;5912.16
2016-03-14;5721.93
2016-04-14;5580.22
2016-06-14;5648.06
2016-07-14;5568.13
2016-09-14;5564.47
2016-10-14;5605.4
2016-11-14;5759.11
2016-12-14;5789.09
2016-01-15;5922.38
2016-02-15;5793.38
2016-03-15;5736.62
2016-04-15;5559.6
2016-06-15;5656.66
2016-07-15;5548.55
2016-09-15;5560.14
2016-11-15;5749.74
2016-12-15;5807.55
2016-02-16;5802.12
2016-03-16;5725.47
2016-05-16;5606.99
2016-06-16;5639.41
2016-08-16;5494.18
2016-09-16;5554.68
2016-11-16;5763.89
2016-12-16;5794.06
2016-02-17;5800.44
2016-03-17;5713.95
2016-05-17;5611.58
2016-06-17;5629.61
2016-08-17;5520.76
2016-10-17;5608.23
2016-11-17;5776.75
2016-01-18;5920.85
2016-02-18;5801.82
2016-03-18;5690.3
2016-04-18;5551.79
2016-05-18;5598.25
2016-07-18;5542.84
2016-08-18;5519.82
2016-10-18;5609.06
2016-11-18;5800.74
2016-01-19;5911.74
2016-02-19;5783.2
2016-04-19;5540.79
2016-05-19;5613.45
2016-07-19;5553.65
2016-08-19;5518.33
2016-09-19;5550.25
2016-10-19;5629.16
2016-12-19;5778.69
2016-01-20;5923.32
2016-04-20;5539.55
2016-05-20;5612.63
2016-06-20;5585.05
2016-07-20;5560.07
2016-09-20;5558.69
2016-10-20;5637.68
2016-12-20;5768.56
2016-01-21;5943.43
2016-03-21;5667.55
2016-04-21;5534.15
2016-06-21;5585.21
2016-07-21;5564.32
2016-09-21;5565.06
2016-10-21;5662.72
2016-11-21;5802.76
2016-12-21;5746.88
2016-01-22;5953.16
2016-02-22;5719.1
2016-03-22;5668.72
2016-04-22;5539.68
2016-06-22;5633
2016-07-22;5560.31
2016-08-22;5512.74
2016-09-22;5577.4
2016-11-22;5801.44
2016-12-22;5773.22
2016-02-23;5699.16
2016-03-23;5676.55
2016-05-23;5615.36
2016-06-23;5644.75
2016-08-23;5506.17
2016-09-23;5571.82
2016-11-23;5811.63
2016-12-23;5761.31
2016-02-24;5716.04
2016-05-24;5614.48
2016-06-24;5654.33
2016-08-24;5519.87
2016-10-24;5676.83
2016-11-24;5814.59
2016-01-25;5944.26
2016-02-25;5714.4
2016-04-25;5530.27
2016-05-25;5631.54
2016-07-25;5550.49
2016-08-25;5517.67
2016-10-25;5703.46
2016-11-25;5820.27
2016-01-26;5934.11
2016-02-26;5722.54
2016-04-26;5508.9
2016-05-26;5646.56
2016-07-26;5537.03
2016-08-26;5507.17
2016-09-26;5554.35
2016-10-26;5704.03
2016-12-26;5749.56
2016-01-27;5938.2
2016-04-27;5537.45
2016-05-27;5690.05
2016-06-27;5622.65
2016-07-27;5556.05
2016-09-27;5558.5
2016-10-27;5723.46
2016-12-27;5745.47
2016-01-28;5930.99
2016-03-28;5665.77
2016-04-28;5550.68
2016-06-28;5605.55
2016-07-28;5557.95
2016-09-28;5567.73
2016-10-28;5728.46
2016-11-28;5820.76
2016-12-28;5759.51
2016-01-29;5932.54
2016-03-29;5649.38
2016-04-29;5571.1
2016-06-29;5614.69
2016-07-29;5543.57
2016-08-29;5524.93
2016-09-29;5572.15
2016-11-29;5828.84
2016-12-29;5766.93
2016-03-30;5663.92
2016-05-30;5699.48
2016-06-30;5588.96
2016-08-30;5525.04
2016-09-30;5555.39
2016-11-30;5839.87
2016-03-31;5628.71
2016-05-31;5708.68
2016-08-31;5527.82
2016-10-31;5723.49
2017-02-01;5749
2017-03-01;5487.68
2017-06-01;5603.53
2017-08-01;5559.2
2017-09-01;5663.8
2017-11-01;5648.2
2017-12-01;5664.86
2017-01-02;5742.4
2017-02-02;5741.5
2017-03-02;5466.47
2017-05-02;5572.01
2017-06-02;5586.9
2017-08-02;5564.38
2017-11-02;5643.25
2017-01-03;5756.8
2017-02-03;5739.61
2017-03-03;5463.19
2017-04-03;5633.22
2017-05-03;5591.09
2017-07-03;5557.5
2017-08-03;5562.77
2017-10-03;5651.41
2017-11-03;5642.02
2017-01-04;5776.83
2017-04-04;5629.37
2017-05-04;5603.47
2017-07-04;5555.28
2017-08-04;5568.25
2017-09-04;5653.81
2017-10-04;5652.28
2017-12-04;5657.79
2017-01-05;5784.39
2017-04-05;5624.54
2017-05-05;5593.96
2017-06-05;5568.39
2017-07-05;5558.55
2017-09-05;5657.75
2017-10-05;5648.07
2017-12-05;5656.97
2017-01-06;5777.23
2017-02-06;5726.24
2017-03-06;5407.98
2017-04-06;5615.14
2017-06-06;5565.99
2017-07-06;5559.37
2017-09-06;5661.22
2017-10-06;5644.8
2017-11-06;5646.3
2017-12-06;5655.27
2017-02-07;5746.3
2017-03-07;5430.26
2017-04-07;5567.22
2017-06-07;5584.9
2017-07-07;5541.37
2017-08-07;5570.29
2017-09-07;5654.56
2017-11-07;5642.34
2017-12-07;5633.03
2017-02-08;5750.94
2017-03-08;5424.43
2017-05-08;5584.13
2017-06-08;5578.32
2017-08-08;5565.08
2017-09-08;5639.11
2017-11-08;5653.05
2017-01-09;5769.99
2017-02-09;5749.72
2017-03-09;5443
2017-05-09;5594.32
2017-06-09;5574.28
2017-08-09;5581.7
2017-10-09;5638.86
2017-11-09;5655
2017-01-10;5738.16
2017-02-10;5732.31
2017-03-10;5432
2017-04-10;5464.09
2017-05-10;5587.54
2017-07-10;5538.95
2017-08-10;5572.43
2017-10-10;5629.97
2017-11-10;5655.89
2017-01-11;5754.67
2017-04-11;5523.33
2017-05-11;5594.79
2017-07-11;5524.98
2017-08-11;5579.68
2017-09-11;5642.93
2017-10-11;5641.66
2017-12-11;5624.56
2017-01-12;5736.89
2017-04-12;5539.2
2017-05-12;5580.72
2017-07-12;5535.46
2017-09-12;5639.83
2017-10-12;5645.1
2017-12-12;5626.54
2017-01-13;5744.65
2017-02-13;5726.17
2017-03-13;5461.73
2017-06-13;5572.68
2017-07-13;5546.31
2017-09-13;5647.43
2017-10-13;5635.47
2017-11-13;5654.63
2017-12-13;5630.36
2017-02-14;5735.03
2017-03-14;5476.59
2017-06-14;5567.51
2017-07-14;5549.53
2017-08-14;5573.35
2017-09-14;5656.82
2017-11-14;5647.94
2017-12-14;5634.17
2017-02-15;5721.02
2017-03-15;5518.99
2017-06-15;5565.31
2017-09-15;5659.31
2017-11-15;5651.01
2017-12-15;5634.92
2017-01-16;5727.54
2017-02-16;5703.06
2017-03-16;5517.06
2017-05-16;5580.62
2017-06-16;5565.28
2017-08-16;5567.71
2017-10-16;5639.51
2017-11-16;5652.81
2017-01-17;5734.13
2017-02-17;5674.69
2017-03-17;5517.67
2017-04-17;5531.82
2017-05-17;5561.86
2017-07-17;5550.29
2017-08-17;5570.49
2017-10-17;5638.45
2017-11-17;5653.87
2017-01-18;5724.48
2017-04-18;5527.3
2017-05-18;5589.89
2017-07-18;5546.75
2017-08-18;5581.32
2017-09-18;5665.92
2017-10-18;5642.82
2017-12-18;5636.67
2017-01-19;5725.38
2017-04-19;5555.8
2017-05-19;5586.62
2017-06-19;5569.88
2017-07-19;5538.36
2017-09-19;5666.48
2017-10-19;5649.97
2017-12-19;5632.63
2017-01-20;5732.42
2017-02-20;5616.86
2017-03-20;5526.86
2017-04-20;5557.75
2017-06-20;5562.56
2017-07-20;5560.37
2017-09-20;5674.92
2017-10-20;5642.69
2017-11-20;5650.55
2017-12-20;5635.33
2017-02-21;5567.16
2017-03-21;5548.69
2017-04-21;5577.31
2017-06-21;5571.2
2017-07-21;5557.16
2017-08-21;5579.08
2017-09-21;5676.87
2017-11-21;5652.48
2017-12-21;5621.13
2017-02-22;5604.11
2017-03-22;5595.55
2017-05-22;5592.35
2017-06-22;5582.68
2017-08-22;5599.77
2017-09-22;5668.98
2017-11-22;5663.14
2017-12-22;5604.79
2017-01-23;5725.67
2017-02-23;5573.28
2017-03-23;5600.62
2017-05-23;5591.87
2017-06-23;5559.39
2017-08-23;5616.28
2017-10-23;5632.59
2017-11-23;5672.81
2017-01-24;5752.34
2017-02-24;5536.19
2017-03-24;5632.29
2017-04-24;5581.26
2017-05-24;5604.3
2017-07-24;5557.12
2017-08-24;5641.09
2017-10-24;5631.73
2017-11-24;5672.6
2017-01-25;5779.19
2017-04-25;5583.81
2017-05-25;5604.27
2017-07-25;5553.8
2017-08-25;5650.37
2017-09-25;5669.87
2017-10-25;5643.12
2017-01-26;5776.3
2017-04-26;5587.13
2017-05-26;5606.6
2017-06-26;5562.98
2017-07-26;5565.05
2017-09-26;5666.29
2017-10-26;5648.4
2017-12-26;5611.87
2017-01-27;5780.82
2017-03-27;5648.54
2017-04-27;5581.59
2017-06-27;5561.51
2017-07-27;5562.13
2017-09-27;5659.67
2017-10-27;5648.02
2017-11-27;5666.14
2017-12-27;5602.3
2017-02-28;5464.99
2017-03-28;5633.8
2017-04-28;5571.66
2017-06-28;5569.32
2017-07-28;5557.19
2017-08-28;5643.45
2017-09-28;5655.11
2017-11-28;5658.48
2017-12-28;5590.47
2017-03-29;5647.7
2017-05-29;5596.18
2017-06-29;5581.66
2017-08-29;5650.35
2017-09-29;5656.58
2017-11-29;5669.44
2017-01-30;5781.38
2017-03-30;5637.27
2017-05-30;5597.52
2017-06-30;5559.67
2017-08-30;5667.46
2017-10-30;5647.08
2017-11-30;5669.33
2017-01-31;5776.89
2017-03-31;5638.14
2017-05-31;5596.68
2017-07-31;5555.3
2017-08-31;5654.5
2017-10-31;5636.73
2018-02-01;5599.22
2018-03-01;5557.38
2018-06-01;5723.22
2018-08-01;5751.5
2018-10-01;5894.26
2018-11-01;5994.48
2018-01-02;5597.02
2018-02-02;5610.03
